token_idx,sentiment_label
"[1, 2, 3, 4, 5, 6, 1, 7, 8, 9, 10, 11, 12, 13, 14, 9, 15, 5, 16, 17, 18, 19, 20, 21, 22, 23, 8423, 24, 8423, 25, 26, 8423, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[1, 27, 28, 29, 30, 1, 31, 30, 1, 32, 33, 3, 34, 35, 13, 17, 36, 30, 37, 38, 39, 40, 41, 42, 43, 44, 9, 8423, 45, 30, 8423, 46, 9, 8423, 0, 0, 0, 0, 0, 0]",1
"[8423, 440, 441, 8423, 17, 8423, 30, 442, 17, 207, 443, 444, 17, 207, 84, 445, 8423, 5, 1, 219, 101, 1, 446, 447, 448, 291, 1, 449, 450, 451, 30, 1, 452, 0, 0, 0, 0, 0, 0, 0]",1
"[377, 1, 251, 3, 453, 454, 455, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[456, 25, 39, 48, 457, 8423, 305, 275, 30, 458, 9, 459, 326, 1, 460, 12, 1, 461, 458, 3, 63, 462, 313, 12, 463, 464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[477, 1, 8423, 478, 93, 362, 1, 479, 480, 30, 1, 481, 93, 114, 8423, 30, 482, 12, 483, 3, 484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[500, 30, 1, 501, 30, 502, 503, 3, 13, 69, 504, 1, 505, 89, 506, 12, 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[17, 95, 84, 8423, 559, 21, 560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[848, 849, 850, 851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[56, 54, 56, 632, 56, 852, 56, 853, 56, 230, 56, 854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[855, 50, 114, 16, 69, 856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[453, 114, 734, 3, 54, 12, 857, 5, 180, 528, 858, 859, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[1205, 8423, 1206, 1207, 12, 1208, 1209, 1210, 8423, 8423, 16, 17, 1211, 312, 96, 1212, 1, 505, 89, 626, 12, 1213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[48, 867, 221, 30, 1, 56, 1257, 89, 1258, 1259, 8423, 30, 8423, 1260, 89, 17, 8423, 30, 1261, 196, 300, 1262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[47, 48, 218, 409, 1802, 1803, 752, 305, 122, 306, 1804, 69, 221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[48, 1079, 1753, 218, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[1918, 83, 939, 1919, 34, 116, 13, 19, 17, 1623, 8423, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[8423, 3, 1211, 1978, 63, 1979, 1980, 1981, 5, 1982, 9, 8423, 12, 8423, 853, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[1, 182, 322, 2057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[324, 322, 123, 357, 69, 117, 1, 1344, 5, 1, 2058, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
