token_idx,sentiment_label
"[1, 2, 3, 4, 5, 6, 1, 7, 8, 9, 10, 11, 12, 13, 14, 9, 15, 5, 16, 17, 18, 19, 20, 21, 22, 23, 9599, 24, 25, 26, 27, 9599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[9599, 507, 508, 9599, 17, 9599, 31, 509, 17, 240, 510, 511, 17, 240, 105, 512, 9599, 5, 1, 251, 50, 1, 513, 514, 515, 340, 1, 516, 517, 518, 31, 1, 519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[53, 469, 309, 226, 520, 521, 315, 58, 364, 522, 31, 523, 524, 525, 110, 526, 31, 527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[53, 677, 983, 984, 985, 229, 134, 211, 53, 39, 986, 144, 987, 988, 989, 374, 1, 990, 12, 528, 6, 991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[17, 9599, 402, 117, 994, 995, 9599, 31, 876, 996, 370, 240, 12, 323, 927, 453, 9599, 997, 1, 998, 31, 999, 1000, 734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[53, 1010, 253, 31, 1, 61, 1424, 110, 1425, 1426, 9599, 31, 1427, 1428, 110, 17, 9599, 31, 1429, 229, 349, 1430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[1898, 1899, 1, 1900, 1732, 31, 930, 1901, 994, 330, 40, 6, 65, 1902, 65, 516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
"[2196, 104, 551, 2100, 35, 135, 13, 19, 17, 1857, 9599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[2197, 1, 1643, 919, 374, 17, 513, 535, 1719, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
"[1, 2066, 79, 2343, 104, 1203, 35, 9599, 13, 797, 12, 2344, 9599, 2170, 9599, 2345, 2346, 5, 9599, 253, 1, 664, 82, 1862, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
